subject,anat HEAD,anat BRIK,funcon HEAD,funcon BRIK,all Links OK?, cleanEPI.MNI exists, #ventricle voxels in mask, #wm voxels in mask
303_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 3011
304_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29, 2796
304_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,39, 2786
306_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 3173
307_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23, 3049
308_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15, 3516
309_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37, 3111
309_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38, 3096
310_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56, 3576
311_A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No voxels,1803
311_C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
312_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28, 3492
313_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34, 2809
313_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,35, 2670
314_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9, 3037
315_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42, 2899
315_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49, 2838
316_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2, 3528
316_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4, 3448
317_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 2838
317_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15, 2804
318_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23, 3759
319_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18, 3080
320_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36, 3419
320_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 3466
321_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,106, 3794
322_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68, 3035
322_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61, 2991
323_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61, 3284
323_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62, 3252
324_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,97, 4452
325_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55, 2863
326_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,45, 3772
328_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 3033
329_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9, 2978
330_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,43, 3375
330_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,63, 3307
331_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98, 3529
332_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42, 3197
333_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 3694
334_A2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No File,No File
335_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 3002
336_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48, 3532
336_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38, 3552
337_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 2431
337_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12, 2408
338_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74, 2655
339_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19, 3054
339_C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
341_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,45, 4150
341_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32, 4207
342_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22, 2618
343_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21, 2630
344_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48, 2791
345_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1, 1191
346_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61, 4283
347_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30, 3548
348_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55, 3216
348_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,43, 3121
349_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51, 4094
350_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24, 3941
351_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4, 2704
353_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,18, 3527
354_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57, 3437
355_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28, 3422
356_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42, 2668
357_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102, 2952
357_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,97, 3030
358_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,106, 3618
359_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74, 3193
360_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29, 2748
361_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19, 3389
362_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13, 2979
363_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,58, 3049
